,Gender,Age,Pclass,Parch,SibSp
0,1,22.0,3,0,1
1,0,38.0,1,0,1
2,0,26.0,3,0,0
3,0,35.0,1,0,1
4,1,35.0,3,0,0
5,1,29.69327731092437,3,0,0
6,1,54.0,1,0,0
7,1,2.0,3,1,3
8,0,27.0,3,2,0
9,0,14.0,2,0,1
10,0,4.0,3,1,1
11,0,58.0,1,0,0
12,1,20.0,3,0,0
13,1,39.0,3,5,1
14,0,14.0,3,0,0
15,0,55.0,2,0,0
16,1,2.0,3,1,4
17,1,29.69327731092437,2,0,0
18,0,31.0,3,0,1
19,0,29.69327731092437,3,0,0
20,1,35.0,2,0,0
21,1,34.0,2,0,0
22,0,15.0,3,0,0
23,1,28.0,1,0,0
24,0,8.0,3,1,3
25,0,38.0,3,5,1
26,1,29.69327731092437,3,0,0
27,1,19.0,1,2,3
28,0,29.69327731092437,3,0,0
29,1,29.69327731092437,3,0,0
30,1,40.0,1,0,0
31,0,29.69327731092437,1,0,1
32,0,29.69327731092437,3,0,0
33,1,66.0,2,0,0
34,1,28.0,1,0,1
35,1,42.0,1,0,1
36,1,29.69327731092437,3,0,0
37,1,21.0,3,0,0
38,0,18.0,3,0,2
39,0,14.0,3,0,1
40,0,40.0,3,0,1
41,0,27.0,2,0,1
42,1,29.69327731092437,3,0,0
43,0,3.0,2,2,1
44,0,19.0,3,0,0
45,1,29.69327731092437,3,0,0
46,1,29.69327731092437,3,0,1
47,0,29.69327731092437,3,0,0
48,1,29.69327731092437,3,0,2
49,0,18.0,3,0,1
50,1,7.0,3,1,4
51,1,21.0,3,0,0
52,0,49.0,1,0,1
53,0,29.0,2,0,1
54,1,65.0,1,1,0
55,1,29.69327731092437,1,0,0
56,0,21.0,2,0,0
57,1,28.0,3,0,0
58,0,5.0,2,2,1
59,1,11.0,3,2,5
60,1,22.0,3,0,0
61,0,38.0,1,0,0
62,1,45.0,1,0,1
63,1,4.0,3,2,3
64,1,29.69327731092437,1,0,0
65,1,29.69327731092437,3,1,1
66,0,29.0,2,0,0
67,1,19.0,3,0,0
68,0,17.0,3,2,4
69,1,26.0,3,0,2
70,1,32.0,2,0,0
71,0,16.0,3,2,5
72,1,21.0,2,0,0
73,1,26.0,3,0,1
74,1,32.0,3,0,0
75,1,25.0,3,0,0
76,1,29.69327731092437,3,0,0
77,1,29.69327731092437,3,0,0
78,1,1.0,2,2,0
79,0,30.0,3,0,0
80,1,22.0,3,0,0
81,1,29.0,3,0,0
82,0,29.69327731092437,3,0,0
83,1,28.0,1,0,0
84,0,17.0,2,0,0
85,0,33.0,3,0,3
86,1,16.0,3,3,1
87,1,29.69327731092437,3,0,0
88,0,23.0,1,2,3
89,1,24.0,3,0,0
90,1,29.0,3,0,0
91,1,20.0,3,0,0
92,1,46.0,1,0,1
93,1,26.0,3,2,1
94,1,59.0,3,0,0
95,1,29.69327731092437,3,0,0
96,1,71.0,1,0,0
97,1,23.0,1,1,0
98,0,34.0,2,1,0
99,1,34.0,2,0,1
100,0,28.0,3,0,0
101,1,29.69327731092437,3,0,0
102,1,21.0,1,1,0
103,1,33.0,3,0,0
104,1,37.0,3,0,2
105,1,28.0,3,0,0
106,0,21.0,3,0,0
107,1,29.69327731092437,3,0,0
108,1,38.0,3,0,0
109,0,29.69327731092437,3,0,1
110,1,47.0,1,0,0
111,0,14.0,3,0,1
112,1,22.0,3,0,0
113,0,20.0,3,0,1
114,0,17.0,3,0,0
115,1,21.0,3,0,0
116,1,70.0,3,0,0
117,1,29.0,2,0,1
118,1,24.0,1,1,0
119,0,2.0,3,2,4
120,1,21.0,2,0,2
121,1,29.69327731092437,3,0,0
122,1,32.0,2,0,1
123,0,32.0,2,0,0
124,1,54.0,1,1,0
125,1,12.0,3,0,1
126,1,29.69327731092437,3,0,0
127,1,24.0,3,0,0
128,0,29.69327731092437,3,1,1
129,1,45.0,3,0,0
130,1,33.0,3,0,0
131,1,20.0,3,0,0
132,0,47.0,3,0,1
133,0,29.0,2,0,1
134,1,25.0,2,0,0
135,1,23.0,2,0,0
136,0,19.0,1,2,0
137,1,37.0,1,0,1
138,1,16.0,3,0,0
139,1,24.0,1,0,0
140,0,29.69327731092437,3,2,0
141,0,22.0,3,0,0
142,0,24.0,3,0,1
143,1,19.0,3,0,0
144,1,18.0,2,0,0
145,1,19.0,2,1,1
146,1,27.0,3,0,0
147,0,9.0,3,2,2
148,1,36.0,2,2,0
149,1,42.0,2,0,0
150,1,51.0,2,0,0
151,0,22.0,1,0,1
152,1,56.0,3,0,0
153,1,40.0,3,2,0
154,1,29.69327731092437,3,0,0
155,1,51.0,1,1,0
156,0,16.0,3,0,0
157,1,30.0,3,0,0
158,1,29.69327731092437,3,0,0
159,1,29.69327731092437,3,2,8
160,1,44.0,3,1,0
161,0,40.0,2,0,0
162,1,26.0,3,0,0
163,1,17.0,3,0,0
164,1,1.0,3,1,4
165,1,9.0,3,2,0
166,0,29.69327731092437,1,1,0
167,0,45.0,3,4,1
168,1,29.69327731092437,1,0,0
169,1,28.0,3,0,0
170,1,61.0,1,0,0
171,1,4.0,3,1,4
172,0,1.0,3,1,1
173,1,21.0,3,0,0
174,1,56.0,1,0,0
175,1,18.0,3,1,1
176,1,29.69327731092437,3,1,3
177,0,50.0,1,0,0
178,1,30.0,2,0,0
179,1,36.0,3,0,0
180,0,29.69327731092437,3,2,8
181,1,29.69327731092437,2,0,0
182,1,9.0,3,2,4
183,1,1.0,2,1,2
184,0,4.0,3,2,0
185,1,29.69327731092437,1,0,0
186,0,29.69327731092437,3,0,1
187,1,45.0,1,0,0
188,1,40.0,3,1,1
189,1,36.0,3,0,0
190,0,32.0,2,0,0
191,1,19.0,2,0,0
192,0,19.0,3,0,1
193,1,3.0,2,1,1
194,0,44.0,1,0,0
195,0,58.0,1,0,0
196,1,29.69327731092437,3,0,0
197,1,42.0,3,1,0
198,0,29.69327731092437,3,0,0
199,0,24.0,2,0,0
200,1,28.0,3,0,0
201,1,29.69327731092437,3,2,8
202,1,34.0,3,0,0
203,1,46.0,3,0,0
204,1,18.0,3,0,0
205,0,2.0,3,1,0
206,1,32.0,3,0,1
207,1,26.0,3,0,0
208,0,16.0,3,0,0
209,1,40.0,1,0,0
210,1,24.0,3,0,0
211,0,35.0,2,0,0
212,1,22.0,3,0,0
213,1,30.0,2,0,0
214,1,29.69327731092437,3,0,1
215,0,31.0,1,0,1
216,0,27.0,3,0,0
217,1,42.0,2,0,1
218,0,32.0,1,0,0
219,1,30.0,2,0,0
220,1,16.0,3,0,0
221,1,27.0,2,0,0
222,1,51.0,3,0,0
223,1,29.69327731092437,3,0,0
224,1,38.0,1,0,1
225,1,22.0,3,0,0
226,1,19.0,2,0,0
227,1,20.0,3,0,0
228,1,18.0,2,0,0
229,0,29.69327731092437,3,1,3
230,0,35.0,1,0,1
231,1,29.0,3,0,0
232,1,59.0,2,0,0
233,0,5.0,3,2,4
234,1,24.0,2,0,0
235,0,29.69327731092437,3,0,0
236,1,44.0,2,0,1
237,0,8.0,2,2,0
238,1,19.0,2,0,0
239,1,33.0,2,0,0
240,0,29.69327731092437,3,0,1
241,0,29.69327731092437,3,0,1
242,1,29.0,2,0,0
243,1,22.0,3,0,0
244,1,30.0,3,0,0
245,1,44.0,1,0,2
246,0,25.0,3,0,0
247,0,24.0,2,2,0
248,1,37.0,1,1,1
249,1,54.0,2,0,1
250,1,29.69327731092437,3,0,0
251,0,29.0,3,1,1
252,1,62.0,1,0,0
253,1,30.0,3,0,1
254,0,41.0,3,2,0
255,0,29.0,3,2,0
256,0,29.69327731092437,1,0,0
257,0,30.0,1,0,0
258,0,35.0,1,0,0
259,0,50.0,2,1,0
260,1,29.69327731092437,3,0,0
261,1,3.0,3,2,4
262,1,52.0,1,1,1
263,1,40.0,1,0,0
264,0,29.69327731092437,3,0,0
265,1,36.0,2,0,0
266,1,16.0,3,1,4
267,1,25.0,3,0,1
268,0,58.0,1,1,0
269,0,35.0,1,0,0
270,1,29.69327731092437,1,0,0
271,1,25.0,3,0,0
272,0,41.0,2,1,0
273,1,37.0,1,1,0
274,0,29.69327731092437,3,0,0
275,0,63.0,1,0,1
276,0,45.0,3,0,0
277,1,29.69327731092437,2,0,0
278,1,7.0,3,1,4
279,0,35.0,3,1,1
280,1,65.0,3,0,0
281,1,28.0,3,0,0
282,1,16.0,3,0,0
283,1,19.0,3,0,0
284,1,29.69327731092437,1,0,0
285,1,33.0,3,0,0
286,1,30.0,3,0,0
287,1,22.0,3,0,0
288,1,42.0,2,0,0
289,0,22.0,3,0,0
290,0,26.0,1,0,0
291,0,19.0,1,0,1
292,1,36.0,2,0,0
293,0,24.0,3,0,0
294,1,24.0,3,0,0
295,1,29.69327731092437,1,0,0
296,1,24.0,3,0,0
297,0,2.0,1,2,1
298,1,29.69327731092437,1,0,0
299,0,50.0,1,1,0
300,0,29.69327731092437,3,0,0
301,1,29.69327731092437,3,0,2
302,1,19.0,3,0,0
303,0,29.69327731092437,2,0,0
304,1,29.69327731092437,3,0,0
305,1,1.0,1,2,1
306,0,29.69327731092437,1,0,0
307,0,17.0,1,0,1
308,1,30.0,2,0,1
309,0,30.0,1,0,0
310,0,24.0,1,0,0
311,0,18.0,1,2,2
312,0,26.0,2,1,1
313,1,28.0,3,0,0
314,1,43.0,2,1,1
315,0,26.0,3,0,0
316,0,24.0,2,0,1
317,1,54.0,2,0,0
318,0,31.0,1,2,0
319,0,40.0,1,1,1
320,1,22.0,3,0,0
321,1,27.0,3,0,0
322,0,30.0,2,0,0
323,0,22.0,2,1,1
324,1,29.69327731092437,3,2,8
325,0,36.0,1,0,0
326,1,61.0,3,0,0
327,0,36.0,2,0,0
328,0,31.0,3,1,1
329,0,16.0,1,1,0
330,0,29.69327731092437,3,0,2
331,1,46.0,1,0,0
332,1,38.0,1,1,0
333,1,16.0,3,0,2
334,0,29.69327731092437,1,0,1
335,1,29.69327731092437,3,0,0
336,1,29.0,1,0,1
337,0,41.0,1,0,0
338,1,45.0,3,0,0
339,1,45.0,1,0,0
340,1,2.0,2,1,1
341,0,24.0,1,2,3
342,1,28.0,2,0,0
343,1,25.0,2,0,0
344,1,36.0,2,0,0
345,0,24.0,2,0,0
346,0,40.0,2,0,0
347,0,29.69327731092437,3,0,1
348,1,3.0,3,1,1
349,1,42.0,3,0,0
350,1,23.0,3,0,0
351,1,29.69327731092437,1,0,0
352,1,15.0,3,1,1
353,1,25.0,3,0,1
354,1,29.69327731092437,3,0,0
355,1,28.0,3,0,0
356,0,22.0,1,1,0
357,0,38.0,2,0,0
358,0,29.69327731092437,3,0,0
359,0,29.69327731092437,3,0,0
360,1,40.0,3,4,1
361,1,29.0,2,0,1
362,0,45.0,3,1,0
363,1,35.0,3,0,0
364,1,29.69327731092437,3,0,1
365,1,30.0,3,0,0
366,0,60.0,1,0,1
367,0,29.69327731092437,3,0,0
368,0,29.69327731092437,3,0,0
369,0,24.0,1,0,0
370,1,25.0,1,0,1
371,1,18.0,3,0,1
372,1,19.0,3,0,0
373,1,22.0,1,0,0
374,0,3.0,3,1,3
375,0,29.69327731092437,1,0,1
376,0,22.0,3,0,0
377,1,27.0,1,2,0
378,1,20.0,3,0,0
379,1,19.0,3,0,0
380,0,42.0,1,0,0
381,0,1.0,3,2,0
382,1,32.0,3,0,0
383,0,35.0,1,0,1
384,1,29.69327731092437,3,0,0
385,1,18.0,2,0,0
386,1,1.0,3,2,5
387,0,36.0,2,0,0
388,1,29.69327731092437,3,0,0
389,0,17.0,2,0,0
390,1,36.0,1,2,1
391,1,21.0,3,0,0
392,1,28.0,3,0,2
393,0,23.0,1,0,1
394,0,24.0,3,2,0
395,1,22.0,3,0,0
396,0,31.0,3,0,0
397,1,46.0,2,0,0
398,1,23.0,2,0,0
399,0,28.0,2,0,0
400,1,39.0,3,0,0
401,1,26.0,3,0,0
402,0,21.0,3,0,1
403,1,28.0,3,0,1
404,0,20.0,3,0,0
405,1,34.0,2,0,1
406,1,51.0,3,0,0
407,1,3.0,2,1,1
408,1,21.0,3,0,0
409,0,29.69327731092437,3,1,3
410,1,29.69327731092437,3,0,0
411,1,29.69327731092437,3,0,0
412,0,33.0,1,0,1
413,1,29.69327731092437,2,0,0
414,1,44.0,3,0,0
415,0,29.69327731092437,3,0,0
416,0,34.0,2,1,1
417,0,18.0,2,2,0
418,1,30.0,2,0,0
419,0,10.0,3,2,0
420,1,29.69327731092437,3,0,0
421,1,21.0,3,0,0
422,1,29.0,3,0,0
423,0,28.0,3,1,1
424,1,18.0,3,1,1
425,1,29.69327731092437,3,0,0
426,0,28.0,2,0,1
427,0,19.0,2,0,0
428,1,29.69327731092437,3,0,0
429,1,32.0,3,0,0
430,1,28.0,1,0,0
431,0,29.69327731092437,3,0,1
432,0,42.0,2,0,1
433,1,17.0,3,0,0
434,1,50.0,1,0,1
435,0,14.0,1,2,1
436,0,21.0,3,2,2
437,0,24.0,2,3,2
438,1,64.0,1,4,1
439,1,31.0,2,0,0
440,0,45.0,2,1,1
441,1,20.0,3,0,0
442,1,25.0,3,0,1
443,0,28.0,2,0,0
444,1,29.69327731092437,3,0,0
445,1,4.0,1,2,0
446,0,13.0,2,1,0
447,1,34.0,1,0,0
448,0,5.0,3,1,2
449,1,52.0,1,0,0
450,1,36.0,2,2,1
451,1,29.69327731092437,3,0,1
452,1,30.0,1,0,0
453,1,49.0,1,0,1
454,1,29.69327731092437,3,0,0
455,1,29.0,3,0,0
456,1,65.0,1,0,0
457,0,29.69327731092437,1,0,1
458,0,50.0,2,0,0
459,1,29.69327731092437,3,0,0
460,1,48.0,1,0,0
461,1,34.0,3,0,0
462,1,47.0,1,0,0
463,1,48.0,2,0,0
464,1,29.69327731092437,3,0,0
465,1,38.0,3,0,0
466,1,29.69327731092437,2,0,0
467,1,56.0,1,0,0
468,1,29.69327731092437,3,0,0
469,0,1.0,3,1,2
470,1,29.69327731092437,3,0,0
471,1,38.0,3,0,0
472,0,33.0,2,2,1
473,0,23.0,2,0,0
474,0,22.0,3,0,0
475,1,29.69327731092437,1,0,0
476,1,34.0,2,0,1
477,1,29.0,3,0,1
478,1,22.0,3,0,0
479,0,2.0,3,1,0
480,1,9.0,3,2,5
481,1,29.69327731092437,2,0,0
482,1,50.0,3,0,0
483,0,63.0,3,0,0
484,1,25.0,1,0,1
485,0,29.69327731092437,3,1,3
486,0,35.0,1,0,1
487,1,58.0,1,0,0
488,1,30.0,3,0,0
489,1,9.0,3,1,1
490,1,29.69327731092437,3,0,1
491,1,21.0,3,0,0
492,1,55.0,1,0,0
493,1,71.0,1,0,0
494,1,21.0,3,0,0
495,1,29.69327731092437,3,0,0
496,0,54.0,1,0,1
497,1,29.69327731092437,3,0,0
498,0,25.0,1,2,1
499,1,24.0,3,0,0
500,1,17.0,3,0,0
501,0,21.0,3,0,0
502,0,29.69327731092437,3,0,0
503,0,37.0,3,0,0
504,0,16.0,1,0,0
505,1,18.0,1,0,1
506,0,33.0,2,2,0
507,1,29.69327731092437,1,0,0
508,1,28.0,3,0,0
509,1,26.0,3,0,0
510,1,29.0,3,0,0
511,1,29.69327731092437,3,0,0
512,1,36.0,1,0,0
513,0,54.0,1,0,1
514,1,24.0,3,0,0
515,1,47.0,1,0,0
516,0,34.0,2,0,0
517,1,29.69327731092437,3,0,0
518,0,36.0,2,0,1
519,1,32.0,3,0,0
520,0,30.0,1,0,0
521,1,22.0,3,0,0
522,1,29.69327731092437,3,0,0
523,0,44.0,1,1,0
524,1,29.69327731092437,3,0,0
525,1,40.0,3,0,0
526,0,50.0,2,0,0
527,1,29.69327731092437,1,0,0
528,1,39.0,3,0,0
529,1,23.0,2,1,2
530,0,2.0,2,1,1
531,1,29.69327731092437,3,0,0
532,1,17.0,3,1,1
533,0,29.69327731092437,3,2,0
534,0,30.0,3,0,0
535,0,7.0,2,2,0
536,1,45.0,1,0,0
537,0,30.0,1,0,0
538,1,29.69327731092437,3,0,0
539,0,22.0,1,2,0
540,0,36.0,1,2,0
541,0,9.0,3,2,4
542,0,11.0,3,2,4
543,1,32.0,2,0,1
544,1,50.0,1,0,1
545,1,64.0,1,0,0
546,0,19.0,2,0,1
547,1,29.69327731092437,2,0,0
548,1,33.0,3,1,1
549,1,8.0,2,1,1
550,1,17.0,1,2,0
551,1,27.0,2,0,0
552,1,29.69327731092437,3,0,0
553,1,22.0,3,0,0
554,0,22.0,3,0,0
555,1,62.0,1,0,0
556,0,48.0,1,0,1
557,1,29.69327731092437,1,0,0
558,0,39.0,1,1,1
559,0,36.0,3,0,1
560,1,29.69327731092437,3,0,0
561,1,40.0,3,0,0
562,1,28.0,2,0,0
563,1,29.69327731092437,3,0,0
564,0,29.69327731092437,3,0,0
565,1,24.0,3,0,2
566,1,19.0,3,0,0
567,0,29.0,3,4,0
568,1,29.69327731092437,3,0,0
569,1,32.0,3,0,0
570,1,62.0,2,0,0
571,0,53.0,1,0,2
572,1,36.0,1,0,0
573,0,29.69327731092437,3,0,0
574,1,16.0,3,0,0
575,1,19.0,3,0,0
576,0,34.0,2,0,0
577,0,39.0,1,0,1
578,0,29.69327731092437,3,0,1
579,1,32.0,3,0,0
580,0,25.0,2,1,1
581,0,39.0,1,1,1
582,1,54.0,2,0,0
583,1,36.0,1,0,0
584,1,29.69327731092437,3,0,0
585,0,18.0,1,2,0
586,1,47.0,2,0,0
587,1,60.0,1,1,1
588,1,22.0,3,0,0
589,1,29.69327731092437,3,0,0
590,1,35.0,3,0,0
591,0,52.0,1,0,1
592,1,47.0,3,0,0
593,0,29.69327731092437,3,2,0
594,1,37.0,2,0,1
595,1,36.0,3,1,1
596,0,29.69327731092437,2,0,0
597,1,49.0,3,0,0
598,1,29.69327731092437,3,0,0
599,1,49.0,1,0,1
600,0,24.0,2,1,2
601,1,29.69327731092437,3,0,0
602,1,29.69327731092437,1,0,0
603,1,44.0,3,0,0
604,1,35.0,1,0,0
605,1,36.0,3,0,1
606,1,30.0,3,0,0
607,1,27.0,1,0,0
608,0,22.0,2,2,1
609,0,40.0,1,0,0
610,0,39.0,3,5,1
611,1,29.69327731092437,3,0,0
612,0,29.69327731092437,3,0,1
613,1,29.69327731092437,3,0,0
614,1,35.0,3,0,0
615,0,24.0,2,2,1
616,1,34.0,3,1,1
617,0,26.0,3,0,1
618,0,4.0,2,1,2
619,1,26.0,2,0,0
620,1,27.0,3,0,1
621,1,42.0,1,0,1
622,1,20.0,3,1,1
623,1,21.0,3,0,0
624,1,21.0,3,0,0
625,1,61.0,1,0,0
626,1,57.0,2,0,0
627,0,21.0,1,0,0
628,1,26.0,3,0,0
629,1,29.69327731092437,3,0,0
630,1,80.0,1,0,0
631,1,51.0,3,0,0
632,1,32.0,1,0,0
633,1,29.69327731092437,1,0,0
634,0,9.0,3,2,3
635,0,28.0,2,0,0
636,1,32.0,3,0,0
637,1,31.0,2,1,1
638,0,41.0,3,5,0
639,1,29.69327731092437,3,0,1
640,1,20.0,3,0,0
641,0,24.0,1,0,0
642,0,2.0,3,2,3
643,1,29.69327731092437,3,0,0
644,0,1.0,3,1,2
645,1,48.0,1,0,1
646,1,19.0,3,0,0
647,1,56.0,1,0,0
648,1,29.69327731092437,3,0,0
649,0,23.0,3,0,0
650,1,29.69327731092437,3,0,0
651,0,18.0,2,1,0
652,1,21.0,3,0,0
653,0,29.69327731092437,3,0,0
654,0,18.0,3,0,0
655,1,24.0,2,0,2
656,1,29.69327731092437,3,0,0
657,0,32.0,3,1,1
658,1,23.0,2,0,0
659,1,58.0,1,2,0
660,1,50.0,1,0,2
661,1,40.0,3,0,0
662,1,47.0,1,0,0
663,1,36.0,3,0,0
664,1,20.0,3,0,1
665,1,32.0,2,0,2
666,1,25.0,2,0,0
667,1,29.69327731092437,3,0,0
668,1,43.0,3,0,0
669,0,29.69327731092437,1,0,1
670,0,40.0,2,1,1
671,1,31.0,1,0,1
672,1,70.0,2,0,0
673,1,31.0,2,0,0
674,1,29.69327731092437,2,0,0
675,1,18.0,3,0,0
676,1,24.0,3,0,0
677,0,18.0,3,0,0
678,0,43.0,3,6,1
679,1,36.0,1,1,0
680,0,29.69327731092437,3,0,0
681,1,27.0,1,0,0
682,1,20.0,3,0,0
683,1,14.0,3,2,5
684,1,60.0,2,1,1
685,1,25.0,2,2,1
686,1,14.0,3,1,4
687,1,19.0,3,0,0
688,1,18.0,3,0,0
689,0,15.0,1,1,0
690,1,31.0,1,0,1
691,0,4.0,3,1,0
692,1,29.69327731092437,3,0,0
693,1,25.0,3,0,0
694,1,60.0,1,0,0
695,1,52.0,2,0,0
696,1,44.0,3,0,0
697,0,29.69327731092437,3,0,0
698,1,49.0,1,1,1
699,1,42.0,3,0,0
700,0,18.0,1,0,1
701,1,35.0,1,0,0
702,0,18.0,3,1,0
703,1,25.0,3,0,0
704,1,26.0,3,0,1
705,1,39.0,2,0,0
706,0,45.0,2,0,0
707,1,42.0,1,0,0
708,0,22.0,1,0,0
709,1,29.69327731092437,3,1,1
710,0,24.0,1,0,0
711,1,29.69327731092437,1,0,0
712,1,48.0,1,0,1
713,1,29.0,3,0,0
714,1,52.0,2,0,0
715,1,19.0,3,0,0
716,0,38.0,1,0,0
717,0,27.0,2,0,0
718,1,29.69327731092437,3,0,0
719,1,33.0,3,0,0
720,0,6.0,2,1,0
721,1,17.0,3,0,1
722,1,34.0,2,0,0
723,1,50.0,2,0,0
724,1,27.0,1,0,1
725,1,20.0,3,0,0
726,0,30.0,2,0,3
727,0,29.69327731092437,3,0,0
728,1,25.0,2,0,1
729,0,25.0,3,0,1
730,0,29.0,1,0,0
731,1,11.0,3,0,0
732,1,29.69327731092437,2,0,0
733,1,23.0,2,0,0
734,1,23.0,2,0,0
735,1,28.0,3,0,0
736,0,48.0,3,3,1
737,1,35.0,1,0,0
738,1,29.69327731092437,3,0,0
739,1,29.69327731092437,3,0,0
740,1,29.69327731092437,1,0,0
741,1,36.0,1,0,1
742,0,21.0,1,2,2
743,1,24.0,3,0,1
744,1,31.0,3,0,0
745,1,70.0,1,1,1
746,1,16.0,3,1,1
747,0,30.0,2,0,0
748,1,19.0,1,0,1
749,1,31.0,3,0,0
750,0,4.0,2,1,1
751,1,6.0,3,1,0
752,1,33.0,3,0,0
753,1,23.0,3,0,0
754,0,48.0,2,2,1
755,1,1.0,2,1,1
756,1,28.0,3,0,0
757,1,18.0,2,0,0
758,1,34.0,3,0,0
759,0,33.0,1,0,0
760,1,29.69327731092437,3,0,0
761,1,41.0,3,0,0
762,1,20.0,3,0,0
763,0,36.0,1,2,1
764,1,16.0,3,0,0
765,0,51.0,1,0,1
766,1,29.69327731092437,1,0,0
767,0,30.0,3,0,0
768,1,29.69327731092437,3,0,1
769,1,32.0,3,0,0
770,1,24.0,3,0,0
771,1,48.0,3,0,0
772,0,57.0,2,0,0
773,1,29.69327731092437,3,0,0
774,0,54.0,2,3,1
775,1,18.0,3,0,0
776,1,29.69327731092437,3,0,0
777,0,5.0,3,0,0
778,1,29.69327731092437,3,0,0
779,0,43.0,1,1,0
780,0,13.0,3,0,0
781,0,17.0,1,0,1
782,1,29.0,1,0,0
783,1,29.69327731092437,3,2,1
784,1,25.0,3,0,0
785,1,25.0,3,0,0
786,0,18.0,3,0,0
787,1,8.0,3,1,4
788,1,1.0,3,2,1
789,1,46.0,1,0,0
790,1,29.69327731092437,3,0,0
791,1,16.0,2,0,0
792,0,29.69327731092437,3,2,8
793,1,29.69327731092437,1,0,0
794,1,25.0,3,0,0
795,1,39.0,2,0,0
796,0,49.0,1,0,0
797,0,31.0,3,0,0
798,1,30.0,3,0,0
799,0,30.0,3,1,1
800,1,34.0,2,0,0
801,0,31.0,2,1,1
802,1,11.0,1,2,1
803,1,0.0,3,1,0
804,1,27.0,3,0,0
805,1,31.0,3,0,0
806,1,39.0,1,0,0
807,0,18.0,3,0,0
808,1,39.0,2,0,0
809,0,33.0,1,0,1
810,1,26.0,3,0,0
811,1,39.0,3,0,0
812,1,35.0,2,0,0
813,0,6.0,3,2,4
814,1,30.0,3,0,0
815,1,29.69327731092437,1,0,0
816,0,23.0,3,0,0
817,1,31.0,2,1,1
818,1,43.0,3,0,0
819,1,10.0,3,2,3
820,0,52.0,1,1,1
821,1,27.0,3,0,0
822,1,38.0,1,0,0
823,0,27.0,3,1,0
824,1,2.0,3,1,4
825,1,29.69327731092437,3,0,0
826,1,29.69327731092437,3,0,0
827,1,1.0,2,2,0
828,1,29.69327731092437,3,0,0
829,0,62.0,1,0,0
830,0,15.0,3,0,1
831,1,1.0,2,1,1
832,1,29.69327731092437,3,0,0
833,1,23.0,3,0,0
834,1,18.0,3,0,0
835,0,39.0,1,1,1
836,1,21.0,3,0,0
837,1,29.69327731092437,3,0,0
838,1,32.0,3,0,0
839,1,29.69327731092437,1,0,0
840,1,20.0,3,0,0
841,1,16.0,2,0,0
842,0,30.0,1,0,0
843,1,34.0,3,0,0
844,1,17.0,3,0,0
845,1,42.0,3,0,0
846,1,29.69327731092437,3,2,8
847,1,35.0,3,0,0
848,1,28.0,2,1,0
849,0,29.69327731092437,1,0,1
850,1,4.0,3,2,4
851,1,74.0,3,0,0
852,0,9.0,3,1,1
853,0,16.0,1,1,0
854,0,44.0,2,0,1
855,0,18.0,3,1,0
856,0,45.0,1,1,1
857,1,51.0,1,0,0
858,0,24.0,3,3,0
859,1,29.69327731092437,3,0,0
860,1,41.0,3,0,2
861,1,21.0,2,0,1
862,0,48.0,1,0,0
863,0,29.69327731092437,3,2,8
864,1,24.0,2,0,0
865,0,42.0,2,0,0
866,0,27.0,2,0,1
867,1,31.0,1,0,0
868,1,29.69327731092437,3,0,0
869,1,4.0,3,1,1
870,1,26.0,3,0,0
871,0,47.0,1,1,1
872,1,33.0,1,0,0
873,1,47.0,3,0,0
874,0,28.0,2,0,1
875,0,15.0,3,0,0
876,1,20.0,3,0,0
877,1,19.0,3,0,0
878,1,29.69327731092437,3,0,0
879,0,56.0,1,1,0
880,0,25.0,2,1,0
881,1,33.0,3,0,0
882,0,22.0,3,0,0
883,1,28.0,2,0,0
884,1,25.0,3,0,0
885,0,39.0,3,5,0
886,1,27.0,2,0,0
887,0,19.0,1,0,0
888,0,29.69327731092437,3,2,1
889,1,26.0,1,0,0
890,1,32.0,3,0,0
